"Juokseva numerointi";"Valtakunnallinen ID tsekattu";"Valtakunnallinen ID";"Ylläpitäjä organisaation nimi/lyhenne";"Kuntanumero";"Ylläpitäjän sisäinen pysäkki-ID";"Pysäkin nimi";"Pysäkin nimi SE";"X koord / Itä";"Y koord / Pohjoinen";"Koordinaatisto / vertausjärjestelmä";"Suunta, asteissa";"X_ETRS-TM35FIN";"Y_ETRS-TM35FIN";"suuntasarake";"suuntasarake2";"Suunta kansalaisen näkökulmasta";"Pysäkin tyyppi";"PYS_TY";"Pysäkin tunnus matkustajalle";"Tienumero";"Katuosoite";"Kunta";"Pysäkin varusteet";"varusteet_muokkaussarake";"PYSAKKI_KA";"Pysäkin saavutettavuus";"Esteettömyys-tiedot";"Voimassa alkaen";"Voimassa asti";"Muokattu";"Muokkaaja";"Maksuvyöhyke-viranomainen";"Maksu-vyöhyke";;;;"Digiroadista etsitty valtakunnallien tunniste"
2717;;9964;"Viitasaari";"931";;"Viitasaaren linja-autoasema";;3442467.0000;6997224.0000;"KKJ3";;442492.9264;6994254.5641;FALSE;FALSE;;4;4;;;"Rantatie 2";;;;3;;;;;;;;;;;;"#NIMI?"
825;;22267;"Juva";"178";;"Juvan linja-autoasema";;544837.0000;6862988.0000;"ETRS-TM35FIN";;544837.0000;6862988.0000;FALSE;FALSE;"etelä (Mikkeli-Helsinki), pohjoinen (Varkaus – Kuopio) ja itä (Savonlinna – Joensuu)";6;6;;;"Yhdystie 8";;;;3;;;;;;;;;;;;"#NIMI?"
2715;;23160;"Heinävesi";"090";;"Heinäveden MH";;3584373.0000;6925501.0000;"KKJ3";;584334.9896;6922563.4467;FALSE;FALSE;;4;4;;;"Askeltie 1";;;;3;;;;;;;;;;;;"#NIMI?"
1639;;23424;"Teuva";"846";;"Teuvan Matkahuolto/Kahvila-konditoria Tamsi";;229216.0000;6939477.0000;"ETRS-TM35FIN";;229216.0000;6939477.0000;FALSE;FALSE;;5;5;;;"Mikkiläntie 7";;;;3;;;;;;;;;;;;"#NIMI?"
6178;;23475;"Joensuu";"167";;"Hukanhauta P";;3643711.4760;6945423.7440;"YKJ";;643482.2711;6942514.3799;FALSE;FALSE;"Pohjoiseen";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6179;;23476;"Joensuu";"167";;"Hukanhauta E";;3643738.1780;6945399.2290;"YKJ";;643508.9624;6942489.8750;FALSE;FALSE;"Etelään";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6156;;23483;"Joensuu";"167";;"Aarnionkatu P";;3643838.0000;6945175.0000;"YKJ";;643608.7457;6942265.7371;FALSE;FALSE;"Pohjoiseen";2;2;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6157;;23484;"Joensuu";"167";;"Aarnionkatu E";;3643848.7070;6945085.0110;"YKJ";;643619.4490;6942175.7844;FALSE;FALSE;"Etelään";2;2;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6367;;23493;"Joensuu";"167";;"Savikkola P";;3644068.0510;6944632.1720;"YKJ";;643838.7075;6941723.1295;FALSE;FALSE;"Pohjoiseen";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6366;;23494;"Joensuu";"167";;"Savikkola E";;3644033.5720;6944665.8810;"YKJ";;643804.2422;6941756.8247;FALSE;FALSE;"Etelään";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6304;;23501;"Joensuu";"167";;"Niinivaara P";;3643599.0000;6945710.0000;"YKJ";;643369.8385;6942800.5197;FALSE;FALSE;"Pohjoiseen";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6305;;23502;"Joensuu";"167";;"Niinivaara E";;3643576.0000;6945701.0000;"YKJ";;643346.8479;6942791.5232;FALSE;FALSE;"Etelään";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6326;;23515;"Joensuu";"167";;"Peltolankatu E";;3642342.0800;6946250.6020;"YKJ";;642113.4244;6943340.8956;FALSE;FALSE;"Etelään";2;2;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6363;;23516;"Joensuu";"167";;"Sairaala I";;3643006.3270;6946158.8000;"YKJ";;642777.4026;6943249.1349;FALSE;FALSE;"Itään";6;6;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6362;;23517;"Joensuu";"167";;"Sairaala L";;3642951.1580;6946229.5530;"YKJ";;642722.2554;6943319.8590;FALSE;FALSE;"Länteen";6;6;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6425;;23518;"Joensuu";"167";;"Vesitorninpuisto P";;3643410.0070;6946081.7140;"YKJ";;643180.9193;6943172.0826;FALSE;FALSE;"Pohjoiseen";3;3;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6426;;23519;"Joensuu";"167";;"Vesitorninpuisto E";;3643451.8870;6946012.0380;"YKJ";;643222.7829;6943102.4350;FALSE;FALSE;"Etelään";3;3;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6394;;23530;"Joensuu";"167";;"Tiaisenpuisto P";;3642726.7720;6946467.6810;"YKJ";;642497.9586;6943557.8895;FALSE;FALSE;"Pohjoiseen";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
6395;;23531;"Joensuu";"167";;"Tiaisenpuisto E";;3642758.5840;6946431.6600;"YKJ";;642529.7580;6943521.8833;FALSE;FALSE;"Etelään";4;4;;;;;;;3;;;;;;;;;;;;"#NIMI?"
