VALLU_PISTENRO;VALLU_NIMI;DIGISTOPTUNNISTE;X_KOORD;Y_KOORD;KUNTAKOODI
802;HELSINKI LINJA-AUTOASEMA;186951;3385417;6674925;091
8817;TAMPERE LINJA-AUTOASEMA;164138;3328146;6824896;837
1878;JYVÄSKYLÄ MATKAKESKUS;186632;3435455;6904705;179
3613;KUOPIO;156210;3534672;6977374;297
1650;JOENSUU KESKUSTA;115159;3641955;6946983;167
1648;JOENSUU LINJA-AUTOASEMA;23556;3642761;6947109;167
15002;PORVOO LINJA-AUTOASEMA;115672;3426524;6698765;638
87696;JOENSUU KESKUSTA;181529;3642061;6947076;167
4057;LAHTI LINJA-AUTOASEMA;29811;3427098;6764656;398
7991;SIILINJÄRVI;24508;3533453;6997082;749
9025;TURKU LINJA-AUTOASEMA;115891;3239897;6714490;853
15430;OULU LINJA-AUTOASEMA;74396;3428653;7213337;564
1214;IISALMI;53315;3509540;7050560;140
101650;SEINÄJOKI;115458;3288209;6972075;743
9395;VAASA MATKAKESKUS;186097;3228767;7010747;905
16634;KAJAANI, LINJA-AUTOASEMA;102797;3535580;7124923;205
18981;HÄMEENLINNA LINJA-AUTOASEMA;32986;3363096;6767743;109
46246;PÄIVÄRANNANRAMPPI ETELÄÄN;156314;3533974;6981355;297
7431;ROVANIEMI LINJA-AUTOASEMA;37801;3442961;7379158;698
7793;SALO LINJA-AUTOASEMA;38011;3286370;6703570;734
87766;MIKKELIN MATKAKESKUS;181608;3514831;6842213;491
46245;PÄIVÄRANNANRAMPPI POHJOISEEN;183125;3534144;6981379;297
87713;VUORELANRAMPPI ETELÄÄN;183137;3535910;6985590;749
7887;SAVONLINNA;38139;3598719;6864016;740
87704;MOOTTORITIE KUOPIO POHJOINEN;181466;3535059;6978809;297
3648;SORSASALONRAMPPI ETELÄÄN;74233;3535179;6984191;297
87752;VUORELANRAMPPI POHJOISEEN;179158;3535986;6985576;749
87719;SORSASALONRAMPPI POHJOISEEN;173202;3535216;6984000;297
1657;NOLJAKKA;23673;3638736;6949873;167
4733;LOHJA;27277;3337551;6685489;444
18718;KUOPIO YLIOPISTOLLINEN SAIRAALA;155909;3533111;6977032;297
2586;KEMI LAS;185728;3388709;7295759;240
7435;ROVANIEMI RAUTATIEASEMA;157999;3442535;7379188;698
549;HAMINA;29083;3510460;6717610;075
9866;NUMMELA(VIHTI);53805;3352580;6694180;927
3204;KOKKOLA;155386;3309722;7087434;272
9573;VARKAUS KESKUSLIIKENNEASEMA;117413;3545560;6912130;915
1164;RAUTATIEASEMA 1;154135;3363783;6768442;109
16997;KUUSAMO LINJA-AUTOASEMA;104403;3598970;7321220;305
3425;KOUVOLA, HALLITUSKATU;155803;3483905;6750799;286
1888;KILPISENKATU;154836;3435071;6904528;179
4252;LAPPEENRANTA MATKAKESKUS;156590;3564716;6771605;405
4730;YLÄMYLLY OSTOSKESKUS, YLÄMYLLYNTIE;141511;3630932;6948105;426
5803;KLAUKKALA (NURMIJÄRVI);36527;3376046;6698893;543
7248;RAUMA LAS;30716;3204255;6792702;684
8320;SOTKAMO, LINJA-AUTOASEMA;102706;3567534;7115363;765
23;ALAJÄRVI;115614;3338863;6992752;005
87330;NIVALA;170110;3400277;7093811;535
7117;RAAHE LAS;170214;3379967;7178524;678
1107;HYVINKÄÄ LINJA-AUTOASEMA;113323;3382914;6726228;106
5569;NILSIÄ;24850;3554700;7011715;297
9124;TUUSULA LAS, HYRYLÄ;27852;3391492;6700596;858
426;FORSSA;31608;3316855;6749846;061
4801;LOIMAA;162603;3286054;6755081;430
10374;ÄÄNEKOSKI;23464;3434619;6944716;992
6673;PORI LINJA-AUTOASEMA;157535;3223234;6830320;609
2916;VEIKKOLA;27346;3357669;6687422;257
84160;TORIPAKKA;120777;3428028;7213842;564
4883;LOVIISA;28060;3457840;6705580;434
17819;KYRÖSKOSKI;32069;3297820;6846050;108
87921;TARINANTIE;162660;3533625;6996545;749
3279;KONTIOLAHTI;183461;3645647;6965454;276
8984;TORNIO;26172;3369832;7308987;851
2107;KAJAANI RAUTATIEASEMA;117253;3536030;7124710;205
6488;PIETARSAARI;162116;3287940;7070860;598
5393;MÄNTSÄLÄ LAS;185264;3408011;6726048;505
18572;KOTKA LINJA-AUTOASEMA;35221;3496809;6705667;285
735;HEINOLA LINJA-AUTOASEMA;161064;3448823;6788640;111
80065;LENTOKENTÄN TH LIPERI;111725;3635400;6950635;426
82084;VAAJAKOSKI, VESMANNINMÄKI;143566;3441309;6905221;179
1140;HÄMEENKYRÖ;31978;3298580;6842680;108
1567;IMATRA;154426;3595781;6788720;153
7967;KASURILA;179063;3535519;6994302;749
1835;JUVA LINJA-AUTOASEMA;22267;3545030;6865835;178
4017;KEMIJÄRVI LINJA-AUTOASEMA;26571;3519100;7403030;320
5944;ORIVESI;36713;3359980;6843870;562
4365;LAUKAA;112514;3445958;6923749;410
6364;PIEKSÄMÄKI;160895;3508795;6910610;593
3287;LEHMOLA;161337;3643466;6954617;276
3638;RIISTAVESI;162680;3559301;6979451;297
2387;KARJAA LAS;27007;3314354;6666787;710
4329;LAPUA;53489;3297744;6991635;408
82404;JO YLIOPISTO P;114085;3641162;6947542;167
84178;OYS, KAJAANINTIE;120795;3430327;7213495;564
7997;VUORELANTIE;162301;3535846;6986503;749
479;HAAPAVESI;170991;3420667;7116452;071
82396;NOLJAKKA;23672;3638470;6949920;167
4782;VIRKKALANLINJA-AUTOASEMA;27166;3333696;6679298;444
3091;KIURUVESI;103159;3481285;7061044;263
200173;KARHULA LINJA-AUTOASEMA;170016;3496620;6711617;285
2079;KAAVI;24254;3575204;6986606;204
6090;PAIMIO;28813;3263267;6712450;577
15218;KANGASALAKK;89666;3343897;6820815;211
7374;RIIHIMÄKI RAUTATIEASEMA;188712;3379057;6738133;694
5982;LINNANMAA;25942;3427832;7218591;564
81979;KESKUSTA (JYVÄSKYLÄ);154820;3435135;6904569;179
5671;SIURO;161823;3305013;6824003;536
19030;JO YLIOPISTO E;114086;3641245;6947395;167
10303;YLÖJÄRVI KK;136651;3319296;6832357;980
1352;IKAALINEN;169966;3291922;6857893;143
8765;TAMMISAARI LINJA-AUTOASEMA;53757;3301690;6657160;710
17026;OULAINEN RAS/MH;104536;3394508;7131718;563
10258;YLIVIESKA;117425;3380150;7110340;977
86040;SODANKYLÄ LINJA-AUTOASEMA;164315;3482605;7481312;758
18710;SUOMUSSALMI;170546;3590479;7199984;777
19918;GOLFTIE;179070;3534463;6995428;749
19754;AIKUISOPISTO;23632;3640766;6948395;167
9900;VIHTI;53809;3352798;6703568;927
